stock,month6change,month12change,month24change,volatilityIndex,fit,,
COG,-0.04,-0.01,0.12,0.000234006,0,,0.02
COL,0.07,0.49,0.67,0.01048024,0,,0.69
COO,-0.06,0.23,0.84,0.011428341,0,,0.76
COP,0.23,0.13,0.62,0.006784471,0,,0.45
COST,0.17,0.09,0.25,0.001470594,0,,0.1
COTY,-0.13,-0.1,-0.35,0.002213067,0,,0.15
CPB,-0.16,-0.29,-0.2,0.002290092,0,,0.15
CRM,0.22,0.37,1.04,0.01903549,0,,1.26
CSCO,0.27,0.28,0.76,0.011005998,0,,0.73
CSRA,-0.03,-0.04,0.37,0.002100283,0,,0.14
CSX,0.07,0.11,1.3,0.025897186,0,,1.71
CTAS,0.16,0.36,0.89,0.014531872,0,,0.96
CTL,-0.24,-0.31,-0.33,0.004030211,0,,0.27
CTSH,0.1,0.42,0.42,0.005464902,0,,0.36
CTXS,0.12,0.13,0.39,0.00271529,0,,0.18
CVS,-0.06,-0.03,-0.17,0.000505995,0,,0.03
CVX,0.05,0.04,0.34,0.001812715,0,,0.12
CXO,0.27,0.1,0.7,0.008683997,0,,0.57
C,0.09,0.31,0.98,0.016202966,0,,1.07
DAL,0.06,0.12,0.32,0.001825212,0,,0.12
DE,0.24,0.48,1.09,0.022562305,0,,1.49
DFS,0.25,0.12,0.7,0.008529246,0,,0.56
DGX,-0.06,0.09,0.66,0.006778095,0,,0.45
DG,0.28,0.34,0.4,0.005459234,0,,0.36
DHI,0.27,0.57,0.97,0.020361418,0,,1.35
DHR,0.17,0.15,0.13,0.001023928,0,,0.07
DISCA,-0.05,-0.17,-0.11,0.000678607,0,,0.04
DISCK,-0.05,-0.19,-0.14,0.000882491,0,,0.06
DISH,-0.25,-0.25,0.07,0.001976759,0,,0.13
DIS,-0.01,-0.04,0.14,0.000311034,0,,0.02
DLR,-0.09,-0.03,0.33,0.0017551,0,,0.12
DLTR,0.4,0.41,0.41,0.007542966,0,,0.5
DOV,0.15,0.29,0.67,0.008445185,0,,0.56
DPS,0.3,0.27,0.33,0.004071531,0,,0.27
DRE,-0.11,0.02,0.31,0.001657085,0,,0.11
DRI,0.14,0.32,0.6,0.007245909,0,,0.48
DTE,-0.09,0.01,0.15,0.000466635,0,,0.03
DUK,-0.14,-0.04,-0.06,0.000368911,0,,0.02
DVA,0.31,0.16,0.2,0.002482046,0,,0.16
DVN,0.13,-0.17,0.55,0.00531153,0,,0.35
D,-0.05,0.02,0.06,0.000105966,0,,0.01
EA,0.05,0.5,1.18,0.02500712,0,,1.65
EBAY,0.17,0.31,0.88,0.013651501,0,,0.9
ECL,0.01,0.11,0.28,0.001400358,0,,0.09
ED,-0.1,0.01,0.03,0.000162285,0,,0.01
EFX,-0.19,-0.03,0.25,0.001531627,0,,0.1
EIX,-0.25,-0.18,-0.05,0.00148019,0,,0.1
EL,0.34,0.62,0.5,0.011299609,0,,0.75
EMN,0.17,0.27,0.68,0.008664031,0,,0.57
EMR,0.13,0.1,0.47,0.003699149,0,,0.24
EOG,0.18,0.09,0.55,0.00511235,0,,0.34
EQIX,-0.04,0.12,0.58,0.005414972,0,,0.36
EQR,-0.15,-0.06,-0.21,0.001104684,0,,0.07
EQT,-0.23,-0.24,-0.2,0.00223829,0,,0.15
ESRX,0.2,0.11,0.12,0.001022721,0,,0.07
ESS,-0.17,-0.03,0.1,0.000582334,0,,0.04
ES,-0.08,0.02,0.05,0.000151117,0,,0.01
ETFC,0.25,0.46,1.44,0.035329138,0,,2.34
ETN,0.1,0.16,0.48,0.004057814,0,,0.27
ETR,-0.05,0.03,0.02,5.60E-05,0,,0
EW,0.11,0.43,0.69,0.010087938,0,,0.67
EXC,-0.05,0,0.12,0.00025207,0,,0.02
EXPD,0.05,0.17,0.35,0.002300216,0,,0.15
EXPE,-0.13,0.06,0.41,0.00289541,0,,0.19
EXR,0.03,0.09,0.03,0.000150992,0,,0.01
FAST,0.24,0.07,0.22,0.001643273,0,,0.11
FBHS,-0.03,0.14,0.4,0.002709632,0,,0.18
FB,0.05,0.37,0.81,0.011901387,0,,0.79
FCX,0.21,0.15,2.39,0.087367022,0,,5.78
FDX,0.21,0.34,0.93,0.015341158,0,,1.01
FE,-0.03,0.03,-0.07,0.000104065,0,,0.01
FFIV,0.18,0.02,0.6,0.005991626,0,,0.4
FISV,0.04,0.21,0.41,0.003221265,0,,0.21
FIS,0.07,0.25,0.73,0.009020721,0,,0.6
FITB,0.2,0.22,1.19,0.022565461,0,,1.49
FLIR,0.29,0.36,0.75,0.011768778,0,,0.78
FLR,0.46,0.03,0.33,0.004837974,0,,0.32
FLS,0.02,-0.16,0.03,0.000419256,0,,0.03
FL,-0.02,-0.3,-0.26,0.002331472,0,,0.15
FMC,-0.01,0.47,1.4,0.03313062,0,,2.19
FOXA,0.28,0.18,0.47,0.004972835,0,,0.33
FOX,0.28,0.18,0.45,0.004844065,0,,0.32
FRT,-0.17,-0.2,-0.24,0.001935735,0,,0.13
FTI,0.12,-0.03,0.29,0.001496019,0,,0.1
F,-0.01,-0.13,-0.07,0.000328779,0,,0.02
GD,0.07,0.17,0.63,0.006437493,0,,0.43
GE,-0.4,-0.48,-0.46,0.009207155,0,,0.61
GGP,-0.04,-0.11,-0.15,0.000550635,0,,0.04
GILD,0.13,0.13,-0.03,0.000518879,0,,0.03
GIS,-0.03,-0.12,-0.02,0.000223281,0,,0.01
GLW,0.02,0.12,0.66,0.006824814,0,,0.45
GM,0.2,0.21,0.48,0.004718968,0,,0.31
GOOGL,0.12,0.27,0.5,0.005092137,0,,0.34
GOOG,0.13,0.3,0.54,0.005947617,0,,0.39
GPC,0.18,0.02,0.16,0.000904545,0,,0.06
GPN,0.1,0.35,1.02,0.017858213,0,,1.18
GPS,0.36,0.43,0.36,0.006739195,0,,0.45
GRMN,0.21,0.27,0.84,0.012384626,0,,0.82
GS,0.1,0.07,0.72,0.008141441,0,,0.54
GT,0.06,0.04,0.27,0.001192038,0,,0.08
GWW,0.55,0.03,0.24,0.005468923,0,,0.36
HAL,0.2,-0.09,0.61,0.006393299,0,,0.42
HAS,-0.01,0.08,0.36,0.00205925,0,,0.14
HBAN,0.18,0.16,0.86,0.012044622,0,,0.8
HBI,-0.1,0.14,-0.08,0.000518709,0,,0.03
HCA,0.25,0.19,0.47,0.004921695,0,,0.33
HCN,-0.21,-0.14,-0.07,0.001060535,0,,0.07
HCP,-0.21,-0.24,-0.31,0.003003735,0,,0.2
HD,0.25,0.4,0.71,0.010973824,0,,0.73
HES,0.03,-0.14,0.13,0.000585846,0,,0.04
HIG,0,0.18,0.41,0.003043127,0,,0.2
HII,0.1,0.18,0.88,0.012246923,0,,0.81
HOG,0.01,-0.14,0.23,0.001138397,0,,0.08
HOLX,0.04,0.03,0.24,0.000868393,0,,0.06
HON,0.09,0.26,0.49,0.004780759,0,,0.32
HPE,-0.12,-0.34,0.24,0.002888941,0,,0.19
HPQ,0.1,0.37,1.26,0.02641768,0,,1.75
HP,0.42,-0.01,0.36,0.004653894,0,,0.31
HRB,-0.15,0.2,-0.25,0.001897068,0,,0.13
HRL,-0.04,-0.1,-0.2,0.000747922,0,,0.05
HRS,0.3,0.45,1.09,0.022496275,0,,1.49
HSIC,-0.21,-0.11,0,0.000824653,0,,0.05
HST,0.04,0.08,0.41,0.002704773,0,,0.18
HSY,-0.06,-0.08,0.1,0.000298875,0,,0.02
HUM,0.06,0.36,0.69,0.009135143,0,,0.6
IBM,0.07,-0.14,0.21,0.001044088,0,,0.07
ICE,0.1,0.18,0.48,0.004116853,0,,0.27
IDXX,0.14,0.24,1.54,0.037059274,0,,2.45
IFF,0.06,0.22,0.22,0.001556201,0,,0.1
ILMN,0.11,0.36,0.63,0.008199764,0,,0.54
INCY,-0.35,-0.27,0.22,0.003623853,0,,0.24
INFO,-0.02,0.14,0.64,0.006583033,0,,0.44
INTC,0.24,0.24,0.57,0.006659001,0,,0.44
INTU,0.18,0.37,0.77,0.011655808,0,,0.77
IPG,-0.01,-0.07,0.05,0.000118688,0,,0.01
IP,0.09,0.14,0.72,0.008344659,0,,0.55
IQV,0.08,0.26,0.76,0.009764058,0,,0.65
IRM,-0.11,-0.1,0.24,0.001211455,0,,0.08
IR,0.04,0.14,0.84,0.011090572,0,,0.73
ISRG,0.28,0.7,1.36,0.036726319,0,,2.43
ITW,0.15,0.29,0.81,0.011550208,0,,0.76
IT,-0.05,0.21,0.49,0.004375312,0,,0.29
IVZ,-0.04,0.1,0.3,0.001513448,0,,0.1
JBHT,0.3,0.2,0.57,0.006847612,0,,0.45
JCI,-0.05,-0.09,0.03,0.000180069,0,,0.01
JEC,0.26,0.12,0.85,0.012154386,0,,0.8
JNJ,-0.01,0.16,0.29,0.001638101,0,,0.11
JNPR,-0.1,-0.07,0.16,0.000592434,0,,0.04
JPM,0.2,0.3,1,0.016996408,0,,1.12
JWN,0.04,0.15,-0.03,0.000387356,0,,0.03
KEY,0.15,0.17,1,0.015994382,0,,1.06
KHC,-0.15,-0.17,0.03,0.000825166,0,,0.05
KIM,-0.29,-0.4,-0.46,0.006920294,0,,0.46
KLAC,0.12,0.17,0.6,0.006100801,0,,0.4
KMB,-0.07,-0.08,-0.13,0.000449999,0,,0.03
KMI,-0.14,-0.22,0.16,0.001407507,0,,0.09
KMX,-0.01,-0.01,0.53,0.004304845,0,,0.28
KORS,0.78,0.8,0.32,0.020192089,0,,1.33
KO,-0.02,0.06,0.04,9.98E-05,0,,0.01
KR,0.19,-0.13,-0.22,0.001463945,0,,0.1
KSS,0.47,0.61,0.48,0.0123938,0,,0.82
KSU,0.04,0.26,0.39,0.003300799,0,,0.22
K,-0.08,-0.12,-0.1,0.000469805,0,,0.03
LB,0.13,-0.16,-0.39,0.002993653,0,,0.2
LEG,-0.05,-0.06,0.13,0.000349578,0,,0.02
LEN,0.14,0.39,0.62,0.008387834,0,,0.55
LH,0.07,0.3,0.68,0.00844256,0,,0.56
LKQ,0.17,0.31,0.62,0.007652254,0,,0.51
LLL,0.18,0.29,0.77,0.010775895,0,,0.71
LLY,-0.07,-0.01,0.03,8.43E-05,0,,0.01
LMT,0.16,0.35,0.61,0.007855847,0,,0.52
LNC,0.06,0.13,1.35,0.027911733,0,,1.85
LNT,-0.09,-0.01,0.1,0.000290596,0,,0.02
LOW,0.28,0.38,0.57,0.008325111,0,,0.55
LRCX,0.1,0.47,1.6,0.042043213,0,,2.78
LUK,-0.04,0.06,0.62,0.00586969,0,,0.39
LUV,0.05,0.09,0.67,0.00689369,0,,0.46
LYB,0.24,0.19,0.46,0.004570418,0,,0.3
L,-0.02,0.03,0.32,0.001549967,0,,0.1
MAA,-0.15,-0.1,0.04,0.000526913,0,,0.03
MAC,-0.01,-0.11,-0.2,0.00077234,0,,0.05
MAR,0.32,0.63,1.35,0.034990896,0,,2.31
MAS,0.12,0.27,0.82,0.011474449,0,,0.76
MAT,-0.09,-0.34,-0.47,0.005230614,0,,0.35
MA,0.29,0.58,1.09,0.024487069,0,,1.62
MCD,0.07,0.33,0.43,0.004489866,0,,0.3
MCHP,-0.02,0.19,1.01,0.016032282,0,,1.06
MCK,-0.02,0.09,0.01,0.000134853,0,,0.01
MCO,0.22,0.48,0.99,0.019009866,0,,1.26
MDLZ,0,0,0.21,0.000680975,0,,0.05
MDT,-0.04,0.07,0.12,0.000308805,0,,0.02
MET,-0.05,-0.1,0.25,0.001108995,0,,0.07
MGM,0.09,0.21,1.06,0.017670798,0,,1.17
MHK,0.07,0.25,0.76,0.009848644,0,,0.65
MKC,0.08,0.07,0.17,0.000608957,0,,0.04
MLM,0.02,-0.03,0.86,0.011134802,0,,0.74
MMC,0.05,0.18,0.49,0.0042084,0,,0.28
MMM,0.12,0.33,0.52,0.005862725,0,,0.39
MNST,0.22,0.5,0.65,0.010787549,0,,0.71
MON,0.03,0.12,0.32,0.001769693,0,,0.12
MOS,0.15,-0.22,0.07,0.001122393,0,,0.07
MO,0.01,-0.07,0.11,0.000273318,0,,0.02
MPC,0.19,0.36,1.12,0.021369495,0,,1.41
MRK,-0.11,-0.13,0.14,0.000754859,0,,0.05
MRO,0.32,0.02,1.09,0.019488316,0,,1.29
MSFT,0.24,0.41,0.81,0.013443375,0,,0.89
MSI,0.15,0.33,0.65,0.008408196,0,,0.56
MS,0.13,0.22,1.41,0.030867654,0,,2.04
MTB,0.13,0.14,0.75,0.008978799,0,,0.59
MTD,0.1,0.39,1.15,0.022529658,0,,1.49
MU,0.47,0.71,3.13,0.159162511,0,,10.52
MYL,0.26,0.03,-0.2,0.001659887,0,,0.11
M,0.05,-0.21,-0.38,0.002816725,0,,0.19
NAVI,-0.04,-0.08,0.57,0.005047983,0,,0.33
NBL,0.06,-0.3,-0.05,0.001465852,0,,0.1
NCLH,0.02,0.21,0.51,0.004633226,0,,0.31
NDAQ,0.03,0.11,0.28,0.001424738,0,,0.09
NEE,0.01,0.19,0.3,0.001888175,0,,0.12
NEM,0.02,-0.01,0.47,0.003351027,0,,0.22
NFLX,0.46,0.84,2.18,0.085355363,0,,5.64
NFX,0.08,-0.27,0.12,0.001405974,0,,0.09
NI,-0.12,0.04,0.1,0.000423801,0,,0.03
NKE,0.1,0.24,0.19,0.001595582,0,,0.11
NLSN,-0.13,-0.1,-0.16,0.000795659,0,,0.05
NOC,0.25,0.45,0.82,0.014165832,0,,0.94
NOV,0.07,-0.13,0.2,0.000944109,0,,0.06
NRG,0.04,0.56,1.28,0.029385011,0,,1.94
NSC,0.23,0.18,1.02,0.017163798,0,,1.13
NTAP,0.35,0.48,1.58,0.043069474,0,,2.85
NTRS,0.14,0.19,0.75,0.009268069,0,,0.61
NUE,0.09,0.09,0.6,0.005639344,0,,0.37
NVDA,0.33,0.92,8.07,1,0,,66.11
NWL,-0.43,-0.35,-0.14,0.004922481,0,,0.33
NWSA,0.12,0.32,0.52,0.005834698,0,,0.39
NWS,0.1,0.3,0.45,0.004536124,0,,0.3
OKE,0.07,0.04,1.44,0.031585916,0,,2.09
OMC,-0.05,-0.11,0.08,0.000300444,0,,0.02
ORCL,-0.02,0.22,0.37,0.002830374,0,,0.19
ORLY,0.23,-0.04,0.08,0.000911931,0,,0.06
OXY,0.13,0.05,0.06,0.000334017,0,,0.02
O,-0.15,-0.19,-0.13,0.001112643,0,,0.07
PAYX,0.16,0.12,0.38,0.00282806,0,,0.19
PBCT,0.1,0.03,0.34,0.00189326,0,,0.13
PCAR,0,0.02,0.38,0.002151566,0,,0.14
PCG,-0.43,-0.36,-0.3,0.006088352,0,,0.4
PCLN,-0.08,0.18,0.93,0.013745777,0,,0.91
PDCO,-0.14,-0.2,-0.17,0.001313717,0,,0.09
PEG,0.04,0.1,0.14,0.000454425,0,,0.03
PEP,-0.03,0.07,0.16,0.00050379,0,,0.03
PFE,0.05,0.09,0.22,0.000925907,0,,0.06
PFG,-0.04,0.07,0.79,0.009453313,0,,0.63
PGR,0.12,0.44,0.74,0.011400778,0,,0.75
PG,-0.1,-0.07,-0.01,0.0002424,0,,0.02
PHM,0.17,0.41,0.89,0.015069123,0,,1
PH,0.13,0.24,0.81,0.011119329,0,,0.74
PKG,0.07,0.23,1.36,0.028671968,0,,1.9
PKI,0.15,0.44,0.83,0.013618652,0,,0.9
PLD,-0.01,0.23,0.59,0.006165401,0,,0.41
PM,-0.15,-0.03,0.1,0.000493603,0,,0.03
PNC,0.18,0.28,0.9,0.013785548,0,,0.91
PNR,0.09,0.18,0.5,0.004473615,0,,0.3
PNW,-0.15,-0.04,0.1,0.000510031,0,,0.03
PPG,0.09,0.14,0.27,0.001539862,0,,0.1
PPL,-0.22,-0.14,-0.16,0.001434744,0,,0.09
PRGO,0.3,0.13,-0.36,0.003581801,0,,0.24
PRU,0,0.04,0.76,0.008659349,0,,0.57
PSA,-0.08,-0.14,-0.19,0.000954463,0,,0.06
PSX,0.12,0.22,0.25,0.001916922,0,,0.13
PVH,0.2,0.75,1.08,0.026533036,0,,1.75
PWR,-0.05,-0.06,0.95,0.013788358,0,,0.91
PXD,0.36,0.01,0.53,0.006194761,0,,0.41
PX,0.15,0.29,0.47,0.004985412,0,,0.33
PYPL,0.27,0.89,1.25,0.036630474,0,,2.42
QCOM,0.23,0.22,0.48,0.005080001,0,,0.34
QRVO,0.14,0.21,1.14,0.02071798,0,,1.37
RCL,0.09,0.35,0.94,0.015334042,0,,1.01
REGN,-0.29,-0.06,-0.14,0.001629518,0,,0.11
REG,-0.14,-0.17,-0.18,0.00123562,0,,0.08
RE,-0.07,0.08,0.32,0.001697912,0,,0.11
RF,0.28,0.3,1.52,0.037359459,0,,2.47
RHI,0.28,0.19,0.44,0.00468526,0,,0.31
RHT,0.3,0.63,1.11,0.026226572,0,,1.73
RJF,0.1,0.18,1.17,0.021397978,0,,1.41
RL,0.38,0.42,0.26,0.005849961,0,,0.39
RMD,0.23,0.34,0.62,0.008483386,0,,0.56
ROK,0.14,0.26,0.94,0.014653525,0,,0.97
ROP,0.13,0.38,0.64,0.008750157,0,,0.58
ROST,0.41,0.18,0.46,0.006213479,0,,0.41
RRC,-0.24,-0.6,-0.57,0.011371203,0,,0.75
RSG,0,0.12,0.49,0.003818801,0,,0.25
RTN,0.18,0.38,0.62,0.008534712,0,,0.56
SBAC,0.19,0.59,0.92,0.01853765,0,,1.23
SBUX,-0.02,-0.01,0.01,1.02E-05,0,,0
SCG,-0.42,-0.47,-0.43,0.008858395,0,,0.59
SCHW,0.21,0.31,1.2,0.024069766,0,,1.59
SEE,0.01,-0.1,0.12,0.000399352,0,,0.03
SHW,0.21,0.34,0.64,0.008468877,0,,0.56
SIG,-0.19,-0.3,-0.5,0.005734369,0,,0.38
SJM,-0.02,-0.14,-0.05,0.000345368,0,,0.02
SLB,0.05,-0.14,0,0.000329874,0,,0.02
SLG,-0.09,-0.14,0.11,0.000578791,0,,0.04
SNA,0.08,0,0.23,0.000889982,0,,0.06
SNI,-0.01,0.15,0.47,0.003633426,0,,0.24
SNPS,0.11,0.32,1.08,0.01927614,0,,1.27
SO,-0.12,-0.11,-0.11,0.000579884,0,,0.04
SPGI,0.21,0.45,1.19,0.025221913,0,,1.67
SPG,-0.07,-0.14,-0.15,0.000695178,0,,0.05
SRCL,-0.07,-0.03,-0.31,0.001573188,0,,0.1
SRE,-0.11,0.02,0.09,0.000325785,0,,0.02
STI,0.19,0.2,1.12,0.020024038,0,,1.32
STT,0.1,0.34,0.93,0.014994575,0,,0.99
STX,0.48,0.07,0.63,0.009612344,0,,0.64
STZ,0.1,0.41,0.59,0.007884709,0,,0.52
SWKS,-0.03,0.1,0.71,0.007783646,0,,0.51
SWK,0.12,0.31,0.77,0.010558343,0,,0.7
SYF,0.23,0.04,0.53,0.005128104,0,,0.34
SYK,0.05,0.25,0.6,0.0064525,0,,0.43
SYMC,-0.08,-0.07,0.38,0.002361187,0,,0.16
SYY,0.11,0.12,0.36,0.002314312,0,,0.15
TAP,-0.15,-0.2,-0.09,0.00106916,0,,0.07
TDG,0.03,0.19,0.36,0.002516134,0,,0.17
TEL,0.23,0.32,0.9,0.014593726,0,,0.96
TGT,0.27,0.15,0.05,0.001449894,0,,0.1
TIF,0.12,0.32,0.64,0.007892339,0,,0.52
TJX,0.08,0.01,0.12,0.000313513,0,,0.02
TMK,0.05,0.12,0.63,0.006186291,0,,0.41
TMO,0.17,0.36,0.7,0.009815517,0,,0.65
TPR,0.05,0.36,0.46,0.005119324,0,,0.34
TRIP,0.04,-0.21,-0.27,0.001753585,0,,0.12
TROW,0.28,0.58,0.61,0.011914897,0,,0.79
TRV,0.1,0.21,0.35,0.002621519,0,,0.17
TSCO,0.19,-0.08,-0.16,0.001009751,0,,0.07
TSN,0.1,0.14,0.22,0.001148087,0,,0.08
TSS,0.33,0.6,1.23,0.029780266,0,,1.97
TWX,-0.07,-0.01,0.41,0.00266196,0,,0.18
TXN,0.24,0.34,1,0.017846371,0,,1.18
TXT,0.17,0.2,0.78,0.01033295,0,,0.68
T,-0.04,-0.1,0,0.000183172,0,,0.01
UAA,-0.29,-0.35,-0.63,0.009199294,0,,0.61
UAL,-0.04,-0.08,0.43,0.002941719,0,,0.19
UDR,-0.13,-0.03,0,0.000260767,0,,0.02
UHS,0.09,0.03,0.12,0.000366234,0,,0.02
ULTA,-0.12,-0.2,0.4,0.003300269,0,,0.22
UNH,0.16,0.41,1.05,0.019642322,0,,1.3
UNM,0,0.08,0.93,0.013099819,0,,0.87
UNP,0.26,0.2,0.7,0.008924501,0,,0.59
UPS,0,0.06,0.15,0.000393407,0,,0.03
URI,0.47,0.38,2.72,0.117704629,0,,7.78
USB,0.03,0.03,0.39,0.002285786,0,,0.15
UTX,0.11,0.19,0.52,0.004821003,0,,0.32
VAR,0.21,0.49,0.58,0.00940231,0,,0.62
VFC,0.28,0.67,0.41,0.010433597,0,,0.69
VIAB,0,-0.27,-0.27,0.002195514,0,,0.15
VLO,0.32,0.37,0.64,0.009835462,0,,0.65
VMC,0.06,0.05,0.44,0.002992359,0,,0.2
VNO,-0.15,-0.36,-0.17,0.002696594,0,,0.18
VRSK,0.15,0.14,0.44,0.003500839,0,,0.23
VRSN,0.1,0.33,0.52,0.005852561,0,,0.39
VRTX,-0.01,0.79,0.9,0.021710798,0,,1.44
VTR,-0.19,-0.14,-0.01,0.000876499,0,,0.06
VZ,0.04,0.06,0.01,8.75E-05,0,,0.01
V,0.18,0.39,0.77,0.011706317,0,,0.77
